Owner/Repository,Repository Age,Stars,Total Releases,CBO,DIT,WMC,LOC
chillzhuang/SpringBlade,777,4234,0,5.0,1.0,1.0,2734.0
Ashok-Varma/BottomNavigation,1824,4232,16,5.5,1.0,6.0,2091.0
twowaits/SDE-Interview-Questions,1239,4228,1,0.0,1.0,1.0,5.0
puniverse/quasar,2912,4227,18,2.0,1.0,2.0,52770.0
techGay/v9porn,1070,4206,8,3.0,1.0,2.0,24663.0
alibaba/jvm-sandbox,1322,4205,12,2.0,1.0,2.0,14467.0
firebase/FirebaseUI-Android,2078,4196,61,4.0,1.0,2.5,16386.0
bingoogolapple/BGARefreshLayout-Android,2120,4176,4,3.0,1.0,2.0,5444.0
jeasonlzy/ImagePicker,1876,4168,5,3.0,1.0,3.0,3685.0
sofastack/sofa-boot,1080,4163,43,4.0,1.0,2.0,22370.0
hustcc/JS-Sorting-Algorithm,1518,4160,0,3.0,1.0,7.5,389.0
Tencent/GT,1890,4153,3,2.0,1.0,3.0,55762.0
lingochamp/okdownload,1186,4144,8,4.0,1.0,5.0,18951.0
confluentinc/ksql,1632,4126,8,5.0,1.0,5.0,155793.0
raphw/byte-buddy,2669,4123,214,4.0,1.0,3.0,238668.0
pedrovgs/AndroidWiFiADB,1977,4122,8,2.0,1.0,2.0,1096.0
grantland/android-autofittextview,3684,4114,1,4.0,1.0,3.0,470.0
auth0/java-jwt,2567,4105,23,4.0,1.0,8.5,7901.0
Jasonchenlijian/FastBle,1667,4086,8,2.0,1.0,2.0,4708.0
awangdev/LintCode,2153,4082,0,,,,
robinhood/ticker,1706,4078,9,4.0,1.0,4.0,1480.0
yasserg/crawler4j,3364,4076,3,4.0,1.0,6.0,4736.0
Nepxion/Discovery,1000,4070,98,3.0,1.0,3.0,15480.0
apache/groovy,2162,4059,0,3.0,1.0,4.0,184484.0
hugeterry/CoordinatorTabLayout,1510,4054,0,3.0,1.0,3.0,473.0
Yalantis/Phoenix,2256,4044,1,2.5,1.0,1.0,976.0
makovkastar/FloatingActionButton,2430,4040,0,3.0,2.0,3.0,1014.0
metersphere/metersphere,408,4030,43,3.0,1.0,3.0,100082.0
baoyachi/StepView,1729,4029,13,7.0,2.0,2.0,906.0
ChadCSong/ShineButton,1716,4014,2,2.0,1.0,1.0,1111.0
Jacksgong/JKeyboardPanelSwitch,2086,4013,14,3.0,1.0,3.0,1736.0
rubensousa/ViewPagerCards,1670,3998,0,6.0,2.0,3.0,240.0
reactive-streams/reactive-streams-jvm,2574,3979,0,3.0,1.0,2.0,15248.0
roncoo/roncoo-pay,1700,3974,0,3.0,1.0,7.0,20071.0
bingoogolapple/BGABanner-Android,2335,3972,0,3.0,2.0,3.0,2123.0
CellularPrivacy/Android-IMSI-Catcher-Detector,2671,3970,48,3.0,1.0,2.0,12171.0
rengwuxian/RxJavaSamples,1819,3969,3,3.0,1.0,1.0,1001.0
dinuscxj/LoadingDrawable,1796,3964,0,4.0,1.0,2.0,4428.0
apache/hbase,2490,3963,4,5.0,1.0,5.0,853993.0
alipay/SoloPi,734,3959,6,2.0,1.0,2.0,53275.0
alibaba/jstorm,2752,3953,22,4.0,1.0,5.0,296853.0
ElderDrivers/EdXposed,789,3951,27,4.0,1.0,7.0,71794.0
frohoff/ysoserial,2240,3946,0,3.0,1.0,3.0,3843.0
deathmarine/Luyten,2806,3946,17,1.0,1.0,2.0,6750.0
BoltsFramework/Bolts-Android,2603,3945,11,2.0,1.0,1.0,5144.0
baidu/uid-generator,1451,3941,0,1.0,1.0,6.0,873.0
Meituan-Dianping/Robust,1464,3937,13,2.0,1.0,6.0,2953.0
airbnb/DeepLinkDispatch,2106,3937,10,3.0,1.0,4.0,9559.0
alibaba/Tangram-Android,1449,3936,38,3.0,1.0,3.0,24338.0
qstumn/BadgeView,1498,3919,5,2.0,1.0,2.0,1759.0
2227324689/gpmall,608,3919,0,3.0,1.0,2.0,8901.0
JoanZapata/android-iconify,2835,3918,0,3.0,1.0,3.0,909.0
cglib/cglib,2545,3916,15,1.0,1.0,2.0,17670.0
Netflix/ribbon,2983,3909,40,2.0,1.0,2.0,21786.0
codingapi/tx-lcn,1222,3908,14,4.0,1.0,2.0,7788.0
spring-projects/spring-data-examples,2603,3905,0,2.0,1.0,1.0,51465.0
flowable/flowable-engine,1616,3900,17,6.0,1.0,5.0,507656.0
plantuml/plantuml,3786,3890,0,5.0,1.0,5.0,188187.0
JanusGraph/janusgraph,1542,3882,18,,,,
cjlin1/libsvm,2745,3878,0,,,,
LawnchairLauncher/Lawnchair,1475,3875,22,,,,
bitcoinj/bitcoinj,2675,3873,1,,,,
ongakuer/CircleIndicator,2422,3867,7,,,,
javagrowing/JGrowing,750,3867,0,,,,
aurelhubert/ahbottomnavigation,1826,3862,14,,,,
lcodecorex/TwinklingRefreshLayout,1841,3860,0,,,,
google/google-java-format,2137,3827,11,,,,
roboguice/roboguice,3139,3826,0,,,,
ThirtyDegreesRay/OpenHub,1345,3826,30,,,,
lettuce-io/lettuce-core,2503,3822,83,,,,
hansonwang99/Spring-Boot-In-Action,779,3819,0,,,,
xcltapestry/XCL-Charts,2473,3808,0,,,,
Manabu-GT/ExpandableTextView,2496,3804,4,,,,
Exrick/xpay,1191,3800,0,,,,
stleary/JSON-java,3739,3799,13,,,,
zuihou/lamp-cloud,1155,3794,0,,,,
youtube/api-samples,2655,3782,0,,,,
zhanglei-workspace/shopping-management-system,1948,3779,0,,,,
iNPUTmice/Conversations,2609,3777,93,,,,
objectbox/objectbox-java,1513,3769,24,,,,
bluelinelabs/Conductor,1827,3757,19,,,,
MiguelCatalan/MaterialSearchView,2011,3757,6,,,,
orhanobut/hawk,2218,3755,22,,,,
yhaolpz/FloatWindow,1219,3745,9,,,,
apache/ignite,2218,3734,0,,,,
phishman3579/java-algorithms-implementation,2674,3716,0,,,,
yanzhenjie/NoHttp,2058,3709,0,,,,
natario1/CameraView,1338,3701,40,,,,
mapstruct/mapstruct,3215,3696,19,,,,
Piasy/BigImageViewer,1592,3695,0,,,,
timehop/sticky-headers-recyclerview,2357,3685,0,,,,
luckybilly/CC,1210,3683,0,,,,
Freeyourgadget/Gadgetbridge,2263,3674,0,,,,
alibaba/transmittable-thread-local,2712,3673,43,,,,
oldmanpushcart/greys-anatomy,3038,3657,0,,,,
apache/camel,4318,3656,0,,,,
microsoft/malmo,1765,3651,21,,,,
CalebFenton/simplify,2617,3634,9,,,,
apache/hive,4318,3631,0,,,,
zzhoujay/RichText,2066,3627,0,,,,
brianway/java-learning,1863,3627,0,,,,
ZHENFENG13/spring-boot-projects,1446,3621,0,,,,
lzyzsd/CircleProgress,2330,3618,0,,,,
rockerhieu/emojicon,2615,3614,2,,,,
amirzaidi/Launcher3,1387,3611,22,,,,
databricks/learning-spark,2466,3608,0,,,,
javaparser/javaparser,3426,3607,24,,,,
dreamhead/moco,3072,3605,0,,,,
nytimes/Store,1569,3600,0,,,,
yangfuhai/ASimpleCache,2789,3597,0,,,,
dromara/soul,980,3595,1,,,,
ronmamo/reflections,2892,3592,0,,,,
azkaban/azkaban,3072,3592,48,,,,
chewiebug/GCViewer,3433,3590,5,,,,
johncarl81/parceler,2814,3589,0,,,,
litesuits/android-common,2484,3587,0,,,,
rstudio/rstudio,3753,3585,0,,,,
ryanhoo/StylishMusicPlayer,1646,3579,0,,,,
bjmashibing/InternetArchitect,515,3553,0,,,,
brianfrankcooper/YCSB,3985,3546,55,,,,
dongjunkun/DropDownMenu,2094,3545,2,,,,
luontola/retrolambda,2797,3544,0,,,,
tyrantgit/ExplosionField,2002,3539,0,,,,
kiegroup/drools,3680,3535,0,,,,
baoyongzhang/SwipeMenuListView,2397,3531,2,,,,
pqpo/SmartCropper,1322,3528,13,,,,
JZ-Darkal/AndroidHttpCapture,1614,3525,1,,,,
oblac/jodd,3113,3523,37,,,,
willowtreeapps/spruce-android,1483,3512,3,,,,
lsjwzh/RecyclerViewPager,2251,3507,10,,,,
kikoso/android-stackblur,2771,3505,0,,,,
arimorty/floatingsearchview,1942,3504,0,,,,
apache/incubator-heron,2000,3504,54,,,,
sunfusheng/MarqueeView,1750,3501,0,,,,
awsdocs/aws-doc-sdk-examples,1672,3501,0,,,,
Atmosphere/atmosphere,3913,3501,0,,,,
dromara/hmily,1266,3500,0,,,,
aws/aws-sdk-java,4013,3499,0,,,,
getActivity/AndroidProject,876,3498,14,,,,
codeestX/GeekNews,1683,3498,0,,,,
vespa-engine/vespa,1748,3496,0,,,,
eirslett/frontend-maven-plugin,2756,3495,0,,,,
theonedev/onedev,862,3494,36,,,,
ankidroid/Anki-Android,2978,3488,902,,,,
xcc3641/SeeWeather,1852,3488,2,,,,
hussien89aa/AndroidTutorialForBeginners,1633,3484,0,,,,
openhab/openhab1-addons,2735,3482,14,,,,
apache/rocketmq-externals,1464,3479,0,,,,
mercyblitz/tech-weekly,835,3474,0,,,,
coobird/thumbnailator,2062,3473,0,,,,
reactor/reactor-core,1954,3472,92,,,,
bisq-network/bisq,2562,3458,103,,,,
microg/GmsCore,2520,3455,20,,,,
binIoter/GuideView,1732,3453,0,,,,
powermock/powermock,2485,3444,16,,,,
avast/android-butterknife-zelezny,2641,3433,8,,,,
AntennaPod/AntennaPod,3151,3431,34,,,,
JakeWharton/ThreeTenABP,2084,3428,0,,,,
bilibili/MagicaSakura,1728,3423,3,,,,
bytedeco/javacpp,2522,3422,6,,,,
dropbox/hackpad,2042,3413,0,,,,
guolindev/giffun,779,3407,0,,,,
andremion/Music-Player,1776,3400,2,,,,
yigit/android-priority-jobqueue,2462,3398,0,,,,
davideas/FlexibleAdapter,2146,3393,30,,,,
apache/shiro,4218,3387,0,,,,
ivacf/archi,2014,3372,0,,,,
lygttpod/SuperTextView,1610,3371,38,,,,
macrozheng/springcloud-learning,557,3371,0,,,,
jhalterman/failsafe,2087,3359,0,,,,
CameraKit/blurkit-android,1592,3354,3,,,,
google/open-location-code,2360,3351,5,,,,
react-native-webrtc/react-native-webrtc,1998,3344,33,,,,
crossoverJie/SSM,1730,3342,10,,,,
gyoogle/tech-interview-for-developer,647,3338,0,,,,
meefik/linuxdeploy,3130,3332,37,,,,
stfalcon-studio/ChatKit,1504,3329,1,,,,
Snailclimb/springboot-guide,840,3323,0,,,,
Ereza/CustomActivityOnCrash,2448,3312,11,,,,
actorapp/actor-platform,2096,3310,97,,,,
pmd/pmd,3171,3303,62,,,,
jitsi/jitsi,2884,3298,7,,,,
mpusher/mpush,1784,3295,9,,,,
alamkanak/Android-Week-View,2373,3292,4,,,,
Genymobile/gnirehtet,1497,3290,11,,,,
citerus/dddsample-core,2237,3286,0,,,,
sofastack/sofa-rpc,1073,3283,37,,,,
google/rejoiner,1197,3281,3,,,,
Doikki/DKVideoPlayer,1436,3272,30,,,,
mcxtzhang/SwipeDelMenuLayout,1665,3264,2,,,,
shekhargulati/99-problems,1942,3262,0,,,,
Netflix/conductor,1561,3253,240,,,,
mybatis/spring-boot-starter,2000,3251,20,,,,
abel533/MyBatis-Spring-Boot,1915,3250,0,,,,
WVector/AppUpdate,1367,3245,3,,,,
iammert/ScalingLayout,1263,3242,4,,,,
bluelinelabs/LoganSquare,2220,3238,0,,,,
tangqi92/Android-Tips,2015,3236,0,,,,
linyiqun/DataMiningAlgorithm,2257,3228,0,,,,
sherxon/AlgoDS,1552,3228,0,,,,
GitLqr/LQRWeChat,1499,3227,0,,,,
TeamAmaze/AmazeFileManager,2438,3226,50,,,,
rovo89/XposedInstaller,3271,3224,0,,,,
rubensousa/PreviewSeekBar,1513,3222,7,,,,
bauerca/drag-sort-listview,3211,3218,0,,,,
oracle/opengrok,2991,3216,161,,,,
bilibili/boxing,1515,3214,1,,,,
code4craft/tiny-spring,2623,3214,0,,,,
chrisbanes/ActionBar-PullToRefresh,2843,3213,0,,,,
luojilab/DDComponentForAndroid,1287,3213,4,,,,
Exrick/xboot,1059,3206,5,,,,
googlemaps/android-maps-utils,2861,3205,17,,,,
querydsl/querydsl,3512,3204,32,,,,
tuguangquan/mybatis,2326,3201,0,,,,
hope-for/hope-boot,882,3197,2,,,,
yangfuhai/afinal,3073,3195,0,,,,
ragunathjawahar/android-saripaar,3112,3190,3,,,,
pengjianbo/GalleryFinal,2004,3181,4,,,,
stylefeng/Guns,1350,3181,0,,,,
cucumber/cucumber,2096,3174,40,,,,
hmkcode/Android,2753,3167,0,,,,
runelite/runelite,1782,3162,0,,,,
daimajia/AndroidViewHover,2413,3162,4,,,,
ittianyu/BottomNavigationViewEx,1586,3160,19,,,,
M66B/NetGuard,1971,3159,128,,,,
google/data-transfer-project,1168,3159,36,,,,
kevinsawicki/http-request,3435,3159,0,,,,
UnevenSoftware/LeafPic,1896,3158,7,,,,
lisawray/groupie,1658,3156,26,,,,
zzz40500/GsonFormat,2329,3152,4,,,,
networknt/light-4j,1650,3148,130,,,,
code4craft/netty-learning,2736,3146,0,,,,
liuyubobobo/Play-with-Algorithms,1716,3142,0,,,,
apache/cordova-android,3031,3139,0,,,,
hitherejoe/animate,1948,3132,0,,,,
knowm/XChange,3331,3127,0,,,,
airbnb/native-navigation,1643,3125,0,,,,
ethanhua/Skeleton,1326,3123,0,,,,
linkedin/databus,3012,3121,0,,,,
jfinal/jfinal,3248,3120,0,,,,
mock-server/mockserver,2941,3114,0,,,,
facebookarchive/network-connection-class,2191,3113,2,,,,
promeG/TinyPinyin,1995,3108,2,,,,
LWJGL/lwjgl3,3006,3106,14,,,,
graphhopper/graphhopper,3315,3105,30,,,,
amulyakhare/TextDrawable,2341,3098,0,,,,
uber/AutoDispose,1546,3097,0,,,,
apache/dubbo-admin,1161,3095,2,,,,
nicolasgramlich/AndEngine,3403,3093,0,,,,
jboss-javassist/javassist,2854,3087,17,,,,
Skykai521/StickerCamera,2082,3083,0,,,,
eclipse/jetty.project,3534,3074,16,,,,
eishay/jvm-serializers,3979,3070,0,,,,
chenBingX/SuperTextView,1430,3069,30,,,,
yipianfengye/android-adDialog,1688,3068,0,,,,
owncloud/android,3126,3063,43,,,,
keyboardsurfer/Crouton,3148,3059,8,,,,
fyhertz/libstreaming,2968,3056,0,,,,
gabrielemariotti/RecyclerViewItemAnimators,2399,3056,0,,,,
danylovolokh/VideoPlayerManager,2078,3055,0,,,,
vert-x3/vertx-examples,2213,3053,0,,,,
android/views-widgets-samples,558,3052,0,,,,
zwwill/yanxuan-weex-demo,1289,3052,0,,,,
alibaba/cobar,2618,3049,1,,,,
hongyangAndroid/Highlight,1987,3047,0,,,,
requery/requery,1950,3043,43,,,,
jgilfelt/android-viewbadger,3459,3041,0,,,,
BelooS/ChipsLayoutManager,1687,3041,11,,,,
xuexiangjys/XUI,800,3035,18,,,,
sofastack/sofa-jarslink,1139,3023,2,,,,
MovingBlocks/Terasology,3666,3022,55,,,,
apache/kylin,2265,3006,0,,,,
eleme/UETool,1036,3005,8,,,,
pedrovgs/DraggablePanel,2530,3004,10,,,,
stephanenicolas/robospice,3101,3003,1,,,,
lovetuzitong/MultiImageSelector,2170,3001,2,,,,
crate/crate,2898,3001,21,,,,
line/armeria,1948,2996,180,,,,
WritingMinds/ffmpeg-android-java,2379,2992,8,,,,
google/volley,1513,2991,7,,,,
facebook/react-native-fbsdk,2053,2989,22,,,,
dmytrodanylyk/android-process-button,2511,2983,1,,,,
web3j/web3j,1655,2982,86,,,,
xmuSistone/ViewpagerTransition,1640,2982,1,,,,
zhou-you/RxEasyHttp,1379,2967,0,,,,
j-easy/easy-rules,2929,2965,10,,,,
Marswin/MarsDaemon,1909,2962,0,,,,
apache/incubator-pinot,2494,2959,8,,,,
jasonross/Nuwa,1953,2952,0,,,,
saysky/ForestBlog,1256,2952,0,,,,
udacity/Sunshine-Version-2,2204,2946,0,,,,
mik3y/usb-serial-for-android,2817,2943,14,,,,
undertow-io/undertow,3163,2941,0,,,,
wendux/DSBridge-Android,1535,2938,2,,,,
crazyandcoder/citypicker,1770,2936,1,,,,
yui/yuicompressor,4485,2930,1,,,,
guoguibing/librec,2624,2928,3,,,,
woxingxiao/BubbleSeekBar,1595,2921,12,,,,
jd-alexander/LikeButton,1911,2917,14,,,,
huburt-Hu/NewbieGuide,1328,2917,20,,,,
uber/NullAway,1293,2913,0,,,,
javaee/jersey,3225,2909,30,,,,
Fuzion24/JustTrustMe,2428,2907,1,,,,
NLPIR-team/NLPIR,2144,2905,0,,,,
ManuelPeinado/FadingActionBar,2853,2904,0,,,,
mplushnikov/lombok-intellij-plugin,2716,2888,116,,,,
spring-cloud/spring-cloud-gateway,1582,2887,0,,,,
race604/FlyRefresh,2120,2887,2,,,,
JSQLParser/JSqlParser,3555,2886,24,,,,
YahooArchive/anthelion,1968,2884,0,,,,
saulmm/Android-Material-Examples,2347,2884,0,,,,
tiann/epic,1395,2881,3,,,,
Javen205/IJPay,1415,2878,23,,,,
edmodo/cropper,2793,2876,0,,,,
Red5/red5-server,2675,2876,44,,,,
trinodb/trino,788,2875,0,,,,
googlesamples/android-vision,2086,2870,0,,,,
geftimov/android-pathview,2248,2870,2,,,,
zaaach/CityPicker,1845,2864,1,,,,
Polidea/RxAndroidBle,1868,2863,43,,,,
andOTP/andOTP,1351,2861,34,,,,
donglua/PhotoPicker,2092,2860,13,,,,
immutables/immutables,2810,2858,6,,,,
anggrayudi/android-hidden-api,2009,2856,1,,,,
JavaNoober/BackgroundLibrary,920,2853,5,,,,
aragozin/jvm-tools,3245,2852,0,,,,
jeremylong/DependencyCheck,3117,2848,10,,,,
lenve/JavaEETest,1555,2847,0,,,,
SpecialCyCi/AndroidResideMenu,2650,2844,7,,,,
openaphid/android-flip,3221,2844,0,,,,
ZieIony/Carbon,2233,2843,2,,,,
yusugomori/DeepLearning,2997,2842,0,,,,
yarolegovich/SlidingRootNav,1452,2839,1,,,,
nanchen2251/RxJava2Examples,1367,2838,0,,,,
JackyAndroid/AndroidChromium,1717,2838,2,,,,
jiangqqlmj/FastDev4Android,1973,2837,4,,,,
spockframework/spock,3748,2829,10,,,,
jprante/elasticsearch-jdbc,3210,2824,19,,,,
JulienGenoud/android-percent-support-lib-sample,2091,2823,2,,,,
sunfusheng/StickyHeaderListView,1790,2822,0,,,,
w446108264/XhsEmoticonsKeyboard,2203,2818,7,,,,
bin456789/Unblock163MusicClient-Xposed,1889,2817,13,,,,
MindorksOpenSource/PRDownloader,1222,2814,5,,,,
fuzhengwei/itstack-demo-design,301,2812,0,,,,
florent37/ShapeOfView,1123,2809,0,,,,
bmelnychuk/AndroidTreeView,2226,2806,0,,,,
square/flow,2743,2806,0,,,,
iwgang/CountdownView,1983,2805,3,,,,
remkop/picocli,1505,2804,76,,,,
liujingxing/okhttp-RxHttp,784,2804,12,,,,
micrometer-metrics/micrometer,1437,2801,98,,,,
java8/Java8InAction,2697,2800,0,,,,
nic-delhi/AarogyaSetu_Android,295,2800,0,,,,
ltsopensource/light-task-scheduler,2336,2796,29,,,,
huanghongxun/HMCL,2095,2796,164,,,,
mzule/ActivityRouter,1804,2795,3,,,,
mxdldev/android-mvp-mvvm-flytour,813,2790,11,,,,
android-notes/Cockroach,1492,2787,1,,,,
guolindev/booksource,1625,2786,0,,,,
FasterXML/jackson-databind,3372,2779,0,,,,
alibaba/jetcache,1435,2777,47,,,,
florent37/ExpectAnim,1486,2776,1,,,,
gouthampradhan/leetcode,1469,2775,0,,,,
CrawlScript/WebCollector,2440,2775,0,,,,
AweiLoveAndroid/CommonDevKnowledge,1188,2770,0,,,,
JakeWharton/scalpel,2627,2769,0,,,,
qunarcorp/bistoury,594,2768,8,,,,
Tencent/MSEC,1570,2760,0,,,,
Teevity/ice,2833,2756,3,,,,
FinalTeam/RxGalleryFinal,1790,2755,1,,,,
airbnb/airpal,2508,2753,0,,,,
cabaletta/baritone,959,2753,55,,,,
trojan-gfw/igniter,860,2753,31,,,,
traccar/traccar,3257,2752,32,,,,
questdb/questdb,2515,2750,30,,,,
JoanZapata/android-pdfview,3038,2750,0,,,,
evrencoskun/TableView,1373,2747,11,,,,
jenkinsci/blueocean-plugin,1880,2745,23,,,,
zhaojun1998/zfile,576,2744,36,,,,
Yalantis/GuillotineMenu-Android,2102,2743,2,,,,
north2016/T-MVP,1773,2743,0,,,,
ballerina-platform/ballerina-lang,1582,2738,83,,,,
jiajunhui/PlayerBase,1450,2737,18,,,,
watabou/pixel-dungeon,2426,2737,0,,,,
burhanrashid52/PhotoEditor,1149,2731,9,,,,
Nightonke/WoWoViewPager,1840,2730,0,,,,
h2database/h2database,2168,2727,12,,,,
szerhusenBC/jwt-spring-security-demo,1823,2725,3,,,,
code-troopers/android-betterpickers,2918,2721,16,,,,
google/binnavi,2037,2721,3,,,,
dingjikerbo/Android-BluetoothKit,1987,2713,0,,,,
Nightonke/CoCoin,1978,2711,0,,,,
googlearchive/android-Camera2Basic,2456,2710,0,,,,
KingJA/LoadSir,1292,2706,6,,,,
RobotiumTech/robotium,4115,2706,0,,,,
MagicMashRoom/SuperCalendar,1406,2697,13,,,,
wenmingvs/AndroidProcess,1884,2696,0,,,,
jfeinstein10/JazzyViewPager,2966,2694,0,,,,
saulmm/CoordinatorBehaviorExample,2040,2694,0,,,,
jbloch/effective-java-3e-source-code,957,2693,0,,,,
fishercoder1534/Leetcode,1690,2692,0,,,,
oguzbilgener/CircularFloatingActionMenu,2432,2691,0,,,,
TangoAgency/material-intro-screen,1647,2691,4,,,,
react-native-share/react-native-share,1995,2689,41,,,,
JackyAndroid/AndroidTVLauncher,1816,2687,3,,,,
JohnPersano/SuperToasts,2844,2681,5,,,,
lizhangqu/CoreLink,2148,2680,0,,,,
apollographql/apollo-android,1631,2679,60,,,,
yanzhenjie/AndServer,1737,2666,0,,,,
harjot-oberai/MusicDNA,1782,2665,2,,,,
JeremyLiao/LiveEventBus,980,2663,0,,,,
glomadrian/Grav,1446,2662,0,,,,
Malinskiy/SuperRecyclerView,2288,2661,7,,,,
AbrahamCaiJin/CommonUtilLibrary,1419,2657,0,,,,
pedrovgs/Algorithms,2320,2655,0,,,,
qii/weiciyuan,3156,2653,0,,,,
googlesamples/google-services,2128,2652,0,,,,
flavioarfaria/KenBurnsView,2555,2650,4,,,,
cSploit/android,2356,2643,33,,,,
zendesk/maxwell,2228,2642,172,,,,
Todd-Davies/ProgressWheel,3329,2640,3,,,,
SimonVT/android-menudrawer,3119,2631,0,,,,
chennaione/sugar,3505,2631,6,,,,
KunMinX/Linkage-RecyclerView,695,2629,0,,,,
tyzlmjj/PagerBottomTabStrip,2033,2628,11,,,,
amitshekhariitbhu/awesome-android-complete-reference,1736,2628,0,,,,
google/hover,1920,2627,0,,,,
beworker/pinned-section-listview,2866,2627,5,,,,
sockeqwe/AdapterDelegates,2058,2626,16,,,,
PowerJob/PowerJob,366,2626,30,,,,
bastillion-io/Bastillion,2960,2625,11,,,,
liangfeidotme/MasteringAndroidDataBinding,2115,2624,0,,,,
chanjarster/weixin-java-tools,2403,2622,21,,,,
500px/500px-android-blur,2196,2619,0,,,,
alibaba/Alink,899,2618,9,,,,
fengjundev/Android-Skin-Loader,2086,2617,0,,,,
aritraroy/PatternLockView,1451,2617,0,,,,
JCTools/JCTools,2684,2614,15,,,,
jacoco/jacoco,3174,2605,42,,,,
cyrilmottier/GreenDroid,3966,2604,0,,,,
siyamed/android-shape-imageview,2390,2603,2,,,,
pushtorefresh/storio,2391,2599,30,,,,
eclipse/openj9,1300,2597,23,,,,
googlearchive/android-ConstraintLayoutExamples,1476,2596,1,,,,
androidx/androidx,334,2596,0,,,,
graknlabs/grakn,1710,2591,59,,,,
nisrulz/sensey,1952,2589,13,,,,
liuyangming/ByteTCC,1860,2586,17,,,,
brianway/springmvc-mybatis-learning,1833,2586,0,,,,
spring-cloud/spring-cloud-kubernetes,1555,2585,0,,,,
VaughnVernon/IDDD_Samples,2900,2585,0,,,,
florent37/DiagonalLayout,1615,2582,0,,,,
jindrapetrik/jpexs-decompiler,2503,2582,111,,,,
jjoe64/GraphView,3544,2582,1,,,,
Col-E/Recaf,1329,2581,143,,,,
tronprotocol/java-tron,1177,2579,53,,,,
huazhiyuan2008/RecyclerViewCardGallery,1658,2577,0,,,,
alibaba/QLExpress,1463,2576,0,,,,
pchmn/MaterialChipsInput,1434,2576,7,,,,
Dimezis/BlurView,1791,2575,22,,,,
mmin18/RealtimeBlurView,1638,2573,0,,,,
mihaip/dex-method-counts,2509,2571,0,,,,
Hitomis/transferee,1518,2570,8,,,,
simple-android-framework/android_design_patterns_analysis,2209,2567,0,,,,
r0adkll/Slidr,2402,2565,5,,,,
zlt2000/microservices-platform,741,2564,19,,,,
ldoublem/LoadingView,1730,2563,0,,,,
MindorksOpenSource/android-mvvm-architecture,1349,2560,0,,,,
florent37/ViewAnimator,1912,2559,3,,,,
osmandapp/OsmAnd,3714,2558,1,,,,
jMonkeyEngine/jmonkeyengine,2554,2545,30,,,,
arcadefire/nice-spinner,2054,2544,18,,,,
spring-projects/spring-loaded,3023,2543,0,,,,
deano2390/MaterialShowcaseView,2051,2542,14,,,,
Mojang/brigadier,2375,2541,2,,,,
dlew/joda-time-android,2625,2541,29,,,,
prontera/spring-cloud-rest-tcc,1930,2539,0,,,,
wildfly/wildfly,3905,2538,14,,,,
yangchong211/LifeHelper,1266,2537,0,,,,
jaydenxiao2016/AndroidFire,1633,2534,0,,,,
Twitter4J/Twitter4J,4345,2533,1,,,,
esoxjem/MovieGuide,1928,2533,0,,,,
ata4/disunity,2796,2528,15,,,,
AltBeacon/android-beacon-library,2424,2527,85,,,,
LuckyJayce/ViewPagerIndicator,2349,2526,16,,,,
jackpal/Android-Terminal-Emulator,3847,2523,0,,,,
apache/nifi,2287,2522,0,,,,
facebookarchive/device-year-class,2203,2521,2,,,,
EverythingMe/overscroll-decor,1942,2520,0,,,,
Cleveroad/SlidingTutorial-Android,1986,2520,0,,,,
yingLanNull/ShadowImageView,1453,2516,0,,,,
